Date Published,Shortcode,Map Marker,Story Summary,Clusters,History,Location,Page + Discussion?,Address,Map Location,Longitude,Latitude,Year,timelineStart,timelineEnd,Story Type,Category 1,Category 2,Category 3,Category 4,Category 5,Notes,On the Map?,Permanent Link,Image
12/1/2013,TRUE,,TRUE,Babcock Butterfat Tester,How Does a Babcock Tester Work?,(No single location),Page + Discussion,,,0,0,1890s,1890,1899,Related,Science & Medicine,Food & Cooking,,,,,,https://wi101.wisc.edu/2013/12/01/how-does-a-babcock-tester-work/,
9/10/2020,TRUE,TRUE,TRUE,"Old Abe, the Live War Eagle","Old Abe, the Live War Eagle","Madison, WI",Page + Discussion,"2 E Main St, Madison, WI 53703","43.074699, -89.384171",-89.384172,43.074706,1904,1904,1904,Object,Politics Society & Government,,,,,,,https://wi101.wisc.edu/2020/09/10/object-history-o…e-live-war-eagle/,
9/10/2020,TRUE,TRUE,FALSE,Paramount Records 78,Paramount Records 78,"Port Washington, WI",Page + Discussion,,"43.387421, -87.875893",-87.876131,43.387508,1910s,1910,1919,Object,Art Sport & Entertainment,Manufacturing & Trade,,,,,,https://wi101.wisc.edu/2020/09/10/object-history-p…mount-records-78/,
9/10/2020,TRUE,TRUE,FALSE,Pauline Pottery Covered Jar,Pauline Pottery Covered Jar,"Edgerton, WI",Page + Discussion,,"42.833462, -89.069458",-89.069212,42.833559,1882-1892,1882,1892,Object,Art Sport & Entertainment,Manufacturing & Trade,Home Furnishings,,,,,https://wi101.wisc.edu/2020/09/10/object-history-p…tery-covered-jar/,
9/10/2020,TRUE,TRUE,FALSE,Penguin Server,Penguin Server,"West Bend, WI",Page + Discussion,,"43.431767, -88.186217",-88.185958,43.432539,1941,1941,1941,Object,Food & Cooking,Manufacturing & Trade,,,,,,https://wi101.wisc.edu/2020/09/10/object-history-penguin-server/,
3/9/2019,TRUE,TRUE,TRUE,Employers Mutual Audiometer,Employers Mutual Audiometer,"Wausau, WI",Page + Discussion,,"44.961920, -89.626048",-89.625919,44.961858,1960s,1960,1969,Object,Science & Medicine,,,,,,,https://wi101.wisc.edu/2019/03/09/object-history-e…utual-audiometer/,
9/10/2020,TRUE,TRUE,FALSE,Potawatomi Beaded 'Soldier Coat',Potawatomi Beaded 'Soldier Coat',"Door County, WI",Page + Discussion,,"45.128141, -87.235128",-87.23661,45.12798,1902,1902,1902,Object,Clothing & Fashion,Politics Society & Government,Ethnicity & Identity,,,Adaptation of Curator's Favorite Article,,https://wi101.wisc.edu/2020/09/10/object-history-p…ded-soldier-coat/,
9/10/2020,TRUE,TRUE,FALSE,Racine Belles Movie Costume,Racine Belles Movie Costume,"Racine, WI",Page + Discussion,,"42.730624, -87.801848",-87.801396,42.730621,1992,1992,1992,Object,Art Sport & Entertainment,Clothing & Fashion,Ethnicity & Identity,,,Adaptation of Curator's Favorite Article,,https://wi101.wisc.edu/2020/09/10/object-history-r…es-movie-costume/,
9/10/2020,TRUE,TRUE,FALSE,Synagogue Window,Synagogue Window,"Sheboygan, WI",Page + Discussion,"Carl Ave & N 13th St, Sheboygan, WI","43.766951, -87.721986",-87.721817,43.766863,1910,1910,1910,Object,Religion,Global Connections,Ethnicity & Identity,Art Sport & Entertainment,Home Furnishings,Adaptation of Curator's Favorite Article,,https://wi101.wisc.edu/2020/09/10/object-history-synagogue-window/,
5/24/2018,TRUE,,TRUE,Employers Mutual Audiometer,Preventing Hearing Loss,(No single location),Page + Discussion,,,0,0,1953-present,1953,2022,Related,Politics Society & Government,Manufacturing & Trade,Science & Medicine,,,,,https://wi101.wisc.edu/2018/05/24/hearing-loss/,
9/9/2020,TRUE,TRUE,TRUE,20-sided die,20-sided die,"Lake Geneva, WI",Page + Discussion,,"42.594010, -88.435550",-88.435553,42.594021,1974,1974,1974,Object,Art Sport & Entertainment,,,,,,,https://wi101.wisc.edu/2020/09/09/object-history-a-twenty-sided-die/,
9/9/2020,TRUE,TRUE,TRUE,A Dam Tower in the Kickapoo Valley Reserve,A Dam Tower in the Kickapoo Valley Reserve,"La Farge, WI",Page + Discussion,"S3661 WI-131, La Farge, WI 54639","43.595815, -90.627968",-90.627468,43.595705,early 1970s,1970,1973,Object,Nature & Environment,Politics Society & Government,Transportation & Tourism,,,,,https://wi101.wisc.edu/2020/09/09/object-history-a…o-valley-reserve/,
9/9/2020,TRUE,TRUE,TRUE,A Duck Decoy,A Duck Decoy,"Lake Koshkonong, WI",Page + Discussion,,"42.853517, -88.939825",-88.942144,42.854175,late 1800s,1870,1899,Object,Nature & Environment,Manufacturing & Trade,Art Sport & Entertainment,,,,,https://wi101.wisc.edu/2020/09/09/object-history-a-duck-decoy/,
9/9/2020,TRUE,TRUE,TRUE,A Hmong Baby Sash,A Hmong Baby Sash,"La Crosse, WI",Page + Discussion,,"43.889258, -91.226244",-91.226316,43.889218,1979,1979,1979,Object,Clothing & Fashion,Global Connections,Ethnicity & Identity,Politics Society & Government,Art Sport & Entertainment,,,https://wi101.wisc.edu/2020/09/09/object-history-a-hmong-baby-sash/,
9/9/2020,TRUE,TRUE,TRUE,A Hudson's Bay Company Point Blanket Coat,A Hudson's Bay Company Point Blanket Coat,"Wausau, WI",Page + Discussion,,"44.962444, -89.628726",-89.629072,44.962303,early 1920s,1920,1923,Object,Manufacturing & Trade,Clothing & Fashion,,,,,,https://wi101.wisc.edu/2020/09/09/object-history-a…int-blanket-coat/,
9/9/2020,TRUE,TRUE,TRUE,Babcock Butterfat Tester,Babcock Butterfat Tester,UW-Madison,Page + Discussion,"1450 Linden Dr, Madison, WI 53703","43.075180, -89.412460",-89.411465,43.074398,1890,1890,1890,Object,Science & Medicine,Manufacturing & Trade,Food & Cooking,,,,,https://wi101.wisc.edu/2020/09/09/object-history-b…butterfat-tester/,
9/9/2020,TRUE,TRUE,TRUE,Babcock Butterfat Tester,Babcock Ice Cream Carton,UW-Madison,Page + Discussion,"1605 Linden Dr, Madison, WI 53706","43.075180, -89.412460",-89.411465,43.074398,1951,1951,1951,Wisc Hist Museum Mini Tour,Food & Cooking,Manufacturing & Trade,Transportation & Tourism,,,,,https://wi101.wisc.edu/2020/09/09/object-history-b…ice-cream-carton/,
9/9/2020,TRUE,TRUE,TRUE,Cassel Soda Bottle,Cassel Soda Bottle,"Whitefish Bay, WI",Page + Discussion,,"
43.114290, -87.895720",-87.896154,43.114047,1900-1917,1900,1917,Object,Food & Cooking,Manufacturing & Trade,,,,,,https://wi101.wisc.edu/2020/09/09/object-history-cassel-soda-bottle/,
9/9/2020,TRUE,TRUE,TRUE,CCC Pillow Sham,CCC Pillow Sham,"Langlade County, WI",Page + Discussion,,"45.359350, -88.910520",-88.91078,45.359383,1933,1933,1933,Object,Home Furnishings,Art Sport & Entertainment,Politics Society & Government,,,,,https://wi101.wisc.edu/2020/09/09/object-history-ccc-pillow-sham/,
9/9/2020,TRUE,TRUE,TRUE,Cherryland T-Shirt,Cherryland T-Shirt,"Ephraim, WI",Page + Discussion,,"45.156509, -87.171997",-87.171803,45.156419,1927-1958,1927,1958,Object,Manufacturing & Trade,Transportation & Tourism,Food & Cooking,,,,,https://wi101.wisc.edu/2020/09/09/5301/,
9/9/2020,TRUE,TRUE,TRUE,Clair Mathews' Feed Grinder,Clair Mathews' Feed Grinder,"Beloit, WI",Page + Discussion,,"42.508085, -88.988344",-88.988767,42.507378,late 1920s,1927,1929,Object,Manufacturing & Trade,Food & Cooking,Science & Medicine,,,,,https://wi101.wisc.edu/2020/09/09/object-history-c…ews-feed-grinder/,
9/9/2020,TRUE,TRUE,TRUE,Horlick's Malted Milk ,Horlick's Malted Milk ,"Racine, WI",Page + Discussion,,"42.739500, -87.805270",-87.805235,42.739434,1873,1873,1873,Object,Food & Cooking,Manufacturing & Trade,Global Connections,Science & Medicine,,,,https://wi101.wisc.edu/2020/09/09/object-history-h…icks-malted-milk/,
9/9/2020,TRUE,TRUE,TRUE,Lifesaving Medal,Lifesaving Medal,"Milwaukee, WI",Page + Discussion,,"43.026698, -87.897025",-87.897747,43.027566,1875,1875,1875,Object,Nature & Environment,Transportation & Tourism,Manufacturing & Trade,,,,,https://wi101.wisc.edu/2020/09/09/object-history-lifesaving-medal/,
9/9/2020,TRUE,TRUE,TRUE,Madison-Style Ice Boat,Madison-Style Ice Boat,"Madison, WI",Page + Discussion,,"43.082530, -89.382130",-89.381555,43.082498,1916-17,1916,1917,Object,Nature & Environment,Transportation & Tourism,Global Connections,Art Sport & Entertainment,,Adaptation of Curator's Favorite Article,,https://wi101.wisc.edu/2020/09/09/object-history-m…e-ice-boat-model/,
6/9/2017,TRUE,,TRUE,N/A,Cradleboard,(No single location),,,,0,0,1350CE-present,-1350,2022,Wisc Hist Museum Mini Tour,Home Furnishings,Ethnicity & Identity,,,,,,https://wi101.wisc.edu/2017/06/09/object-history-cradleboard/,
9/9/2020,TRUE,TRUE,TRUE,N/A,A Ballot Box,"Greenbush, WI",Page + Discussion,"W7965 WI-23, Greenbush, WI 53026","43.782566, -88.091633",-88.092008,43.783159,1800-1850s,1800,1859,Wade House Mini Tour,Politics Society & Government,,,,,,,https://wi101.wisc.edu/2020/09/09/object-history-a-ballot-box/,
2/1/2016,TRUE,,TRUE,Vulcan Bowling Pin,The Vulcan Corporation,"Cradon, WI; Antigo, WI",,,"45.571980, -88.903410; 45.155180, -89.156450",0,0,1909-21st century,1909,2010,Related,Manufacturing & Trade,Clothing & Fashion,Art Sport & Entertainment,Nature & Environment,,,,https://wi101.wisc.edu/2016/02/01/the-vulcan-corporation/,
